Country,Year,"Birth Per 1,000 population","Deaths Per 1,000 population","Net number of migrants per 1,000 population","     Rate of natural increase",Growth rate,"     Population","         Births","       Deaths","    Net numberof migrants","    Natural increase"
Poland,2000,9.8,9.5,-0.5,0.03,-0.02,38654164,378424,367988,-19714,10436
Portugal,2007,10.6,10.6,3.3,0,0.33,10642836,112708,112388,35228,320
Portugal,2006,10.7,10.5,3.4,0.02,0.36,10605870,113695,111362,36060,2333
Portugal,2005,10.8,10.4,3.5,0.04,0.39,10566212,114326,110206,36876,4120
Portugal,2004,10.9,10.4,3.6,0.05,0.41,10524145,114713,109135,37571,5578
Portugal,2003,10.9,10.3,3.7,0.07,0.43,10479955,114756,107944,38461,6812
Portugal,2002,11,10.2,3.8,0.07,0.45,10433867,114460,106738,39231,7722
Portugal,2001,10.9,10.2,3.9,0.07,0.46,10386753,112800,105633,39989,7167
Portugal,2000,11.6,10.2,4,0.14,0.53,10335597,120100,105837,40826,14263
Puerto Rico,2007,12.8,7.8,-1.1,0.5,0.39,3944259,50447,30686,-4299,19761
Puerto Rico,2006,12.9,7.7,-1.1,0.52,0.41,3928447,50716,30131,-4478,20585
Puerto Rico,2005,13,7.6,-1.2,0.55,0.43,3912054,50974,29575,-4734,21399
Puerto Rico,2004,13.2,7.5,-1.3,0.57,0.44,3895107,51221,29057,-4986,22164
Puerto Rico,2003,13.1,7.3,-1.3,0.58,0.44,3877881,50800,28347,-5196,22453
Puerto Rico,2002,13.7,7.3,-1.4,0.64,0.5,3859606,52877,28098,-5442,24779
Puerto Rico,2001,14.6,7.5,-1.5,0.71,0.56,3839190,55975,28794,-5682,27181
Puerto Rico,2000,15.6,7.5,-1.5,0.81,0.66,3815909,59452,28543,-5876,30909
Qatar,2007,15.6,4.8,13.1,1.07,2.39,907229,14116,4373,11903,9743
Qatar,2006,15.6,4.7,14.1,1.08,2.5,885359,13776,4179,12501,9597
Qatar,2005,15.5,4.6,15.2,1.09,2.61,863051,13412,3979,13092,9433
Qatar,2004,15.6,4.5,16.3,1.11,2.74,840290,13109,3798,13688,9311
Qatar,2003,15.7,4.4,17.5,1.12,2.87,817052,12811,3620,14282,9191
Qatar,2002,15.8,4.3,18.8,1.14,3.02,793341,12519,3443,14875,9076
Qatar,2001,15.9,4.3,20.1,1.17,3.18,769152,12237,3277,15475,8960
Qatar,2000,16.1,4.2,21.6,1.19,3.35,744483,11964,3119,16066,8845
Romania,2007,10.7,11.8,-0.1,-0.11,-0.13,22276056,237686,263080,-2896,-25394
Romania,2006,10.7,11.8,-0.1,-0.11,-0.12,22303552,238648,262513,-2899,-23865
Romania,2005,10.7,11.7,-0.1,-0.1,-0.12,22329977,238931,262154,-2903,-23223
Romania,2004,10.7,11.7,-0.1,-0.1,-0.11,22355551,238981,261336,-2906,-22355
Romania,2003,10.7,11.6,-0.1,-0.1,-0.11,22380273,238798,260283,-2909,-21485
Romania,2002,10.7,11.6,-0.1,-0.09,-0.11,22404337,238606,259666,-2913,-21060
Romania,2001,10.6,11.6,-0.1,-0.09,-0.1,22428044,238410,259268,-2916,-20858
Romania,2000,10.6,11.5,-0.1,-0.1,-0.11,22451921,237766,259095,-2919,-21329
Russia,2007,10.9,16,0.3,-0.51,-0.48,141377752,1543845,2267699,39586,-723854
Russia,2006,10.8,16,0.3,-0.52,-0.49,142069494,1531509,2271691,39779,-740182
Russia,2005,10.6,15.9,0.3,-0.53,-0.5,142775578,1519132,2271559,39977,-752427
Russia,2004,10.5,16,0.3,-0.55,-0.52,143507430,1501088,2293249,38747,-792161
Russia,2003,10.2,16.4,0.2,-0.62,-0.59,144307852,1476269,2365206,34634,-888937
Russia,2002,9.6,16.1,0.5,-0.64,-0.59,145162621,1396464,2331312,78388,-934848
Russia,2001,9,15.5,1,-0.65,-0.55,145990308,1310993,2259930,147450,-948937
Russia,2000,8.6,15.2,2.2,-0.65,-0.44,146709971,1266107,2225590,319828,-959483
Rwanda,2007,40.2,14.9,2.4,2.52,2.77,9907509,397886,147721,23877,250165
Rwanda,2006,40.3,15.4,2.5,2.49,2.75,9638170,388418,148139,24385,240279
Rwanda,2005,40.4,15.8,2.7,2.46,2.72,9378226,378880,148551,24946,230329
Rwanda,2004,40.4,16.3,2.8,2.41,2.69,9127896,368950,149059,25467,219891
Rwanda,2003,40.4,16.8,0.7,2.36,2.43,8897149,359445,149739,6406,209706
Rwanda,2002,40.3,17.4,0.7,2.3,2.37,8686155,350399,150792,6341,199607
Rwanda,2001,40.3,17.9,5,2.24,2.74,8467241,341314,151818,42421,189496
Rwanda,2000,40.4,18.5,-4.2,2.19,1.76,8278209,334440,153478,-34768,180962
Saint Helena,2007,11.9,6.6,0,0.53,0.53,7543,90,50,0,40
Saint Helena,2006,12.1,6.5,0,0.56,0.56,7502,91,49,0,42
Saint Helena,2005,12.3,6.4,0,0.59,0.59,7460,92,48,0,44
Saint Helena,2004,12.7,6.5,0,0.62,0.62,7415,94,48,0,46
Saint Helena,2003,12.9,6.2,0,0.67,0.67,7367,95,46,0,49
Saint Helena,2002,13.3,6.3,0,0.7,0.7,7317,97,46,0,51
Saint Helena,2001,13.5,6.3,0,0.72,0.72,7266,98,46,0,52
Saint Helena,2000,13.7,6.1,0,0.76,0.76,7212,99,44,0,55
Saint Kitts and Nevis,2007,17.9,8.2,-3.5,0.97,0.62,39349,704,321,-138,383
Saint Kitts and Nevis,2006,18,8.3,-4.7,0.97,0.5,39129,705,326,-184,379
Saint Kitts and Nevis,2005,18.1,8.5,-5.9,0.96,0.38,38958,706,330,-230,376
Saint Kitts and Nevis,2004,18.3,8.7,-7.1,0.96,0.25,38836,709,336,-276,373
Saint Kitts and Nevis,2003,18.4,8.8,-8.3,0.96,0.13,38763,715,343,-322,372
Saint Kitts and Nevis,2002,18.6,9,-9.5,0.96,0.01,38736,721,350,-368,371
Saint Kitts and Nevis,2001,18.8,9.2,-10.7,0.96,-0.11,38756,728,357,-414,371
Saint Kitts and Nevis,2000,19.1,9.4,-11.8,0.97,-0.22,38819,740,364,-460,376
Saint Lucia,2007,19.3,5,-1.3,1.43,1.3,170649,3290,858,-218,2432
Saint Lucia,2006,19.7,5.1,-1.7,1.46,1.29,168458,3315,856,-291,2459
Saint Lucia,2005,20.1,5.1,-2.2,1.49,1.27,166312,3335,852,-364,2483
Saint Lucia,2004,20.5,5.2,-2.7,1.53,1.26,164213,3366,851,-438,2515
Saint Lucia,2003,20.9,5.2,-3.1,1.57,1.25,162157,3394,850,-511,2544
Saint Lucia,2002,21.4,5.3,-3.6,1.61,1.24,160145,3422,849,-583,2573
Saint Lucia,2001,21.8,5.4,-4.2,1.64,1.23,158178,3448,848,-656,2600
Saint Lucia,2000,22.2,5.4,-4.7,1.68,1.21,156260,3467,848,-730,2619
Saint Pierre and Miquelon,2007,13.1,6.8,-5,0.63,0.13,7036,92,48,-35,44
Saint Pierre and Miquelon,2006,13.5,6.8,-5,0.67,0.17,7026,95,48,-35,47
Saint Pierre and Miquelon,2005,13.8,6.7,-5,0.71,0.21,7012,97,47,-35,50
Saint Pierre and Miquelon,2004,14.2,6.7,-4.9,0.74,0.26,6995,99,47,-34,52
Saint Pierre and Miquelon,2003,14.6,6.7,-4.9,0.79,0.3,6976,102,47,-34,55
Saint Pierre and Miquelon,2002,15,6.6,-4.9,0.83,0.34,6954,104,46,-34,58
Saint Pierre and Miquelon,2001,15.9,6.6,-4.9,0.92,0.43,6928,110,46,-34,64
Saint Pierre and Miquelon,2000,16.5,6.7,-4.9,0.99,0.49,6896,114,46,-34,68
Saint Vincent and the Grenadines,2007,16,6,-7.6,1,0.25,118149,1893,705,-896,1188
Saint Vincent and the Grenadines,2006,16.2,6,-7.6,1.02,0.26,117848,1907,705,-894,1202
Saint Vincent and the Grenadines,2005,16.3,6,-7.6,1.03,0.27,117534,1921,705,-894,1216
Saint Vincent and the Grenadines,2004,16.8,6,-7.6,1.07,0.31,117193,1965,708,-895,1257
Saint Vincent and the Grenadines,2003,17.2,6.1,-7.7,1.11,0.34,116812,2004,710,-895,1294
Saint Vincent and the Grenadines,2002,17.5,6.1,-7.7,1.14,0.37,116394,2042,712,-895,1330
Saint Vincent and the Grenadines,2001,17.9,6.2,-7.7,1.18,0.4,115942,2077,714,-895,1363
Saint Vincent and the Grenadines,2000,18.2,6.2,-7.8,1.2,0.43,115461,2107,717,-895,1390
Samoa,2007,28.3,5.9,-9.5,2.24,1.29,214265,6059,1260,-2033,4799
Samoa,2006,28.3,5.9,-9.8,2.24,1.25,211554,5985,1250,-2080,4735
Samoa,2005,28.3,6,-10,2.23,1.24,208937,5905,1243,-2081,4662
Samoa,2004,28.3,6,-10.1,2.23,1.22,206385,5839,1236,-2080,4603
Samoa,2003,28.3,6,-10.2,2.23,1.21,203890,5774,1229,-2080,4545
Samoa,2002,28.4,6.1,-10.3,2.23,1.2,201451,5711,1221,-2081,4490
Samoa,2001,28.4,6.1,-10.4,2.23,1.18,199068,5648,1214,-2080,4434
Samoa,2000,28.1,6.1,-10.6,2.2,1.14,196769,5531,1206,-2080,4325
San Marino,2007,9.9,8.3,10.6,0.16,1.22,29615,293,245,313,48
San Marino,2006,10,8.2,10.7,0.18,1.25,29251,293,239,313,54
San Marino,2005,10.2,8.1,10.8,0.21,1.29,28880,294,233,313,61
San Marino,2004,10.3,8,11,0.23,1.33,28503,294,227,313,67
San Marino,2003,10.5,7.9,11.1,0.26,1.38,28119,295,221,313,74
San Marino,2002,10.6,7.8,11.3,0.28,1.41,27730,295,216,313,79
San Marino,2001,10.8,7.7,11.4,0.31,1.45,27336,294,210,313,84
San Marino,2000,10.9,7.7,11.6,0.32,1.49,26937,293,206,313,87
Sao Tome and Principe,2007,39.7,6.3,-2.1,3.34,3.13,199579,7927,1253,-427,6674
Sao Tome and Principe,2006,40.2,6.5,-2.3,3.38,3.15,193413,7785,1251,-449,6534
Sao Tome and Principe,2005,40.8,6.7,-2.5,3.41,3.16,187410,7646,1252,-470,6394
Sao Tome and Principe,2004,41.4,6.9,-2.7,3.45,3.18,181565,7510,1251,-494,6259
Sao Tome and Principe,2003,41.9,7.1,-2.9,3.48,3.18,175883,7364,1251,-515,6113
Sao Tome and Principe,2002,42.3,7.3,-3.1,3.5,3.18,170372,7207,1247,-537,5960
Sao Tome and Principe,2001,42.7,7.5,-3.4,3.52,3.18,165034,7054,1244,-558,5810
Sao Tome and Principe,2000,43,7.8,-3.6,3.52,3.16,159883,6872,1241,-579,5631
Saudi Arabia,2007,29.1,2.5,-6,2.65,2.06,27601038,803190,70383,-164226,732807
Saudi Arabia,2006,29.3,2.6,-4.9,2.68,2.18,27019731,792759,69711,-133477,723048
Saudi Arabia,2005,29.6,2.6,-3.9,2.69,2.31,26417599,780904,69214,-101708,711690
Saudi Arabia,2004,29.7,2.7,-2.7,2.71,2.44,25795938,767171,68617,-69907,698554
Saudi Arabia,2003,29.9,2.7,-1.5,2.72,2.56,25156630,751932,68174,-38238,683758
Saudi Arabia,2002,30,2.8,-0.3,2.73,2.69,24501530,735536,67869,-7350,667667
Saudi Arabia,2001,30.1,2.8,0.9,2.73,2.82,23832849,717845,67447,22165,650398
Saudi Arabia,2000,30.2,2.9,2.2,2.73,2.95,23153090,698992,67144,50474,631848
Senegal,2007,37.4,11,0,2.64,2.65,12521851,468317,137239,0,331078
Senegal,2006,38.3,11.2,0,2.71,2.71,12191150,466677,136419,0,330258
Senegal,2005,39.1,11.4,0.2,2.78,2.79,11860429,464336,135090,2135,329246
Senegal,2004,39.2,11.6,0.2,2.77,2.78,11534252,452373,133451,2192,318922
Senegal,2003,39.3,11.8,0.2,2.75,2.77,11218320,440543,131815,2131,308728
Senegal,2002,39.3,11.9,0.2,2.74,2.76,10912546,428645,130078,2183,298567
Senegal,2001,39.3,12.1,0.2,2.72,2.74,10616801,417028,128357,2230,288671
Senegal,2000,39.3,12.3,0,2.7,2.7,10332013,405635,126670,0,278965
Serbia,2007,12.1,10.7,-0.5,0.14,0.09,10150265,123123,109014,-4669,14109
Serbia,2006,12.2,10.7,-0.4,0.15,0.1,10140311,123306,108501,-4360,14805
Serbia,2005,12.2,10.7,-0.5,0.15,0.11,10129640,123379,107881,-4660,15498
Serbia,2004,12.2,10.7,-0.5,0.15,0.1,10119145,123352,108275,-4958,15077
Serbia,2003,12.2,10.7,-0.5,0.14,0.09,10109579,122831,108577,-5257,14254
Serbia,2002,12.1,10.8,-2.6,0.14,-0.13,10111559,122653,109003,-26593,13650
Serbia,2001,12.1,10.8,-4,0.13,-0.27,10131896,122596,109424,-40933,13172
Serbia,2000,11.5,11.1,5.2,0.04,0.55,10117908,116255,112713,52107,3542
Seychelles,2007,15.8,6.2,-5.2,0.96,0.43,81895,1296,512,-430,784
Seychelles,2006,16,6.3,-5.4,0.97,0.43,81541,1307,513,-440,794
Seychelles,2005,16.2,6.3,-5.5,0.99,0.43,81188,1317,515,-450,802
Seychelles,2004,16.6,6.4,-5.7,1.01,0.45,80832,1338,518,-460,820
Seychelles,2003,16.9,6.5,-5.8,1.04,0.46,80469,1359,522,-470,837
Seychelles,2002,17.3,6.6,-6,1.07,0.47,80098,1383,526,-480,857
Seychelles,2001,17.7,6.7,-6.2,1.1,0.49,79715,1408,530,-490,878
Seychelles,2000,18,6.7,-6.3,1.12,0.49,79326,1427,535,-500,892
Sierra Leone,2007,45.4,22.6,0.1,2.28,2.29,6144562,279025,139113,922,139912
Sierra Leone,2006,45.8,23,0.2,2.27,2.29,6005250,274800,138301,1381,136499
Sierra Leone,2005,46.1,23.4,0.8,2.27,2.35,5867426,270664,137474,4635,133190
Sierra Leone,2004,46.5,23.7,0.4,2.28,2.32,5732171,266374,135852,2293,130522
Sierra Leone,2003,46.9,24,13.4,2.29,3.63,5564299,260687,133321,74450,127366
Sierra Leone,2002,47.3,24.2,15.8,2.31,3.89,5359092,253378,129636,84674,123742
Sierra Leone,2001,47.7,24.4,44.8,2.33,6.81,5080682,242501,123918,227462,118583
Sierra Leone,2000,47.8,24.5,18.2,2.33,4.15,4808817,229669,117864,87665,111805
Singapore,2007,9.2,4.4,8,0.48,1.27,4553009,41751,20033,36333,21718
Singapore,2006,9.3,4.3,9.1,0.51,1.42,4492150,41957,19226,40968,22731
Singapore,2005,9.5,4.2,10.3,0.53,1.56,4425720,42000,18411,45585,23589
Singapore,2004,9.6,4,11.5,0.56,1.71,4353893,41928,17633,50200,24295
Singapore,2003,9.8,3.9,12.8,0.58,1.86,4276788,41784,16851,54786,24933
Singapore,2002,9.9,3.8,12.6,0.61,1.86,4197776,41642,16077,52766,25565
Singapore,2001,10.1,3.7,12.3,0.63,1.86,4120228,41449,15368,50720,26081
Singapore,2000,11.6,3.9,14.6,0.78,2.23,4036753,46988,15703,58856,31285
Slovakia,2007,10.7,9.5,0.3,0.12,0.15,5447502,58016,51642,1634,6374
Slovakia,2006,10.7,9.4,0.3,0.12,0.15,5439448,57930,51403,1632,6527
Slovakia,2005,10.6,9.4,0.3,0.12,0.15,5431363,57681,51218,1629,6463
Slovakia,2004,10.6,9.5,0.3,0.11,0.14,5423567,57327,51415,1627,5912
Slovakia,2003,10.5,9.5,0.3,0.1,0.13,5416406,56818,51673,1625,5145
Slovakia,2002,10.4,9.6,0.3,0.08,0.11,5410052,56210,51936,1623,4274
Slovakia,2001,10.3,9.7,0.3,0.06,0.09,5404681,55506,52317,1621,3189
Slovakia,2000,10.2,9.8,0.3,0.04,0.07,5400320,55137,52707,1458,2430
Slovenia,2007,9,10.4,0.8,-0.14,-0.07,2009245,18083,20916,1527,-2833
Slovenia,2006,9,10.3,0.9,-0.13,-0.04,2010347,18053,20727,1769,-2674
Slovenia,2005,8.9,10.2,1,-0.13,-0.03,2011070,17999,20553,2011,-2554
Slovenia,2004,8.9,10.2,1.1,-0.12,-0.01,2011473,17902,20416,2253,-2514
Slovenia,2003,8.8,10.1,1.2,-0.12,0,2011604,17783,20277,2515,-2494
Slovenia,2002,8.8,10,1.4,-0.12,0.01,2011497,17641,20155,2756,-2514
Slovenia,2001,8.7,10,1.5,-0.13,0.02,2011179,17477,20051,2997,-2574
Slovenia,2000,9,9.9,1.3,-0.09,0.04,2010557,18175,19965,2614,-1790
Solomon Islands,2007,29.3,3.9,0,2.54,2.54,566842,16591,2194,0,14397
Solomon Islands,2006,30,3.9,0,2.61,2.61,552438,16579,2166,0,14413
Solomon Islands,2005,30.7,4,0,2.68,2.68,538032,16539,2141,0,14398
Solomon Islands,2004,31.6,4,0,2.76,2.76,523617,16546,2115,0,14431
Solomon Islands,2003,32.5,4.1,0,2.83,2.83,509190,16523,2098,0,14425
Solomon Islands,2002,33.3,4.2,0,2.91,2.91,494786,16457,2073,0,14384
Solomon Islands,2001,34,4.3,0,2.98,2.98,480442,16359,2051,0,14308
Solomon Islands,2000,34.8,4.3,0,3.04,3.04,466194,16219,2028,0,14191
Somalia,2007,44.6,16.3,0,2.83,2.83,9118773,406697,148454,0,258243
Somalia,2006,45.1,16.6,0,2.85,2.85,8863338,400002,147397,0,252605
Somalia,2005,45.6,17,5.2,2.87,3.38,8591629,391950,145800,44591,246150
Somalia,2004,46,17.3,5.4,2.87,3.41,8304601,382344,143670,44596,238674
Somalia,2003,46.4,17.6,5.6,2.88,3.43,8025190,372529,141564,44620,230965
Somalia,2002,46.8,18,5.8,2.88,3.46,7753310,363088,139482,44582,223606
Somalia,2001,47.2,18.4,6,2.89,3.48,7488773,353695,137419,44633,216276
Somalia,2000,47.7,18.7,0,2.9,2.9,7253137,345975,135561,0,210414
South Africa,2007,17.9,22.4,-0.1,-0.45,-0.46,43997828,789321,987751,-3520,-198430
South Africa,2006,18.2,22,-0.2,-0.38,-0.4,44187637,804215,972128,-7070,-167913
South Africa,2005,18.5,21.3,-0.2,-0.28,-0.31,44344136,819480,945417,-9756,-125937
South Africa,2004,19.1,20.4,-0.3,-0.13,-0.16,44448470,848521,906749,-12446,-58228
South Africa,2003,19.7,19.3,-0.3,0.05,0.01,44481901,877628,856721,-14679,20907
South Africa,2002,20.4,17.9,-0.4,0.25,0.21,44433622,905113,795362,-17329,109751
South Africa,2001,21,16.4,-0.5,0.46,0.41,44296012,930659,726455,-20376,204204
South Africa,2000,21.6,14.9,-0.5,0.68,0.63,44066197,953593,654824,-22914,298769
Spain,2000,9.9,9,1,0.09,0.19,40016081,395759,359344,40016,36415
Spain,2001,10,9.3,1,0.06,0.16,40087104,399668,374414,40087,25254
Spain,2002,10,9.4,1,0.06,0.16,40152517,403131,377835,40153,25296
Spain,2003,10.1,9.5,1,0.06,0.16,40217413,405392,381261,39815,24131
Spain,2006,10.1,9.7,1,0.03,0.13,40397842,406402,392667,39994,13735
Spain,2007,10,9.8,1,0.02,0.12,40448191,403673,396797,40044,6876
Spain,2005,10.1,9.6,1,0.05,0.15,40341462,407449,388488,39938,18961
Spain,2004,10.1,9.6,1,0.06,0.15,40280780,407239,384681,39878,22558
Sri Lanka,2000,17.7,5.9,-1.4,1.19,1.04,19435869,344598,114089,-28182,230509
Sri Lanka,2003,18.3,5.8,-1.3,1.26,1.12,20097485,368186,115762,-26529,252424
Sri Lanka,2004,18,7.5,-1.3,1.04,0.92,20303267,365053,153087,-25988,211966
Sri Lanka,2005,17.7,5.9,-1.2,1.18,1.05,20504264,362310,120565,-25425,241745
Sri Lanka,2006,17.3,6,-1.2,1.14,1.02,20717932,359249,123272,-24862,235977
Sri Lanka,2002,18.5,5.6,-1.4,1.29,1.15,19870066,368391,112067,-27222,256324
Sri Lanka,2007,17,6,-1.2,1.1,0.98,20926315,355747,125767,-24275,229980
Sri Lanka,2001,18.3,5.7,-1.4,1.25,1.11,19646267,358741,112573,-27701,246168
Sudan,2000,38.8,12.8,0.5,2.6,2.65,34193831,1326379,438707,17781,887672
Sudan,2002,37.6,12.7,-1,2.49,2.39,35909122,1349106,456046,-34832,893060
Sudan,2007,34.9,14.4,0.3,2.05,2.08,39379358,1372764,566669,13783,806095
Sudan,2003,36.9,15.4,-7.6,2.15,1.39,36592664,1351001,563527,-278470,787474
Sudan,2004,36.3,15.3,-7.5,2.1,1.35,37096866,1346245,568324,-278226,777921
Sudan,2005,35.8,15.3,1.5,2.05,2.21,37762842,1350777,576261,57777,774516
Sudan,2006,35.3,15.2,0.4,2.01,2.05,38574264,1362829,586715,14272,776114
Sudan,2001,38.2,12.8,-1.6,2.54,2.38,35063397,1338370,447409,-57855,890961
Suriname,2007,17.3,5.5,-0.8,1.18,1.1,470784,8149,2589,-367,5560
Suriname,2000,22.7,5.7,-2.8,1.7,1.41,432485,9804,2461,-1228,7343
Suriname,2001,21.7,5.6,-2.5,1.6,1.35,438509,9511,2473,-1105,7038
Suriname,2002,20.6,5.6,-2.2,1.51,1.28,444331,9175,2484,-982,6691
Suriname,2003,19.7,5.5,-1.9,1.41,1.22,449931,8850,2497,-859,6353
Suriname,2004,18.8,5.5,-1.6,1.32,1.16,455317,8537,2518,-738,6019
Suriname,2005,17.9,5.5,-1.3,1.24,1.1,460495,8224,2533,-617,5691
Suriname,2006,17.6,5.5,-1.1,1.21,1.11,465610,8209,2561,-494,5648
Swaziland,2006,27.4,29.7,0,-0.23,-0.23,1136334,31147,33795,0,-2648
Swaziland,2005,27.9,28.8,0,-0.09,-0.09,1138227,31779,32804,0,-1025
Swaziland,2004,28.6,27.6,0,0.11,0.11,1138171,32597,31379,0,1218
Swaziland,2003,29.4,26,0,0.34,0.34,1135657,33388,29482,0,3906
Swaziland,2001,31,21.8,0,0.91,0.91,1121699,34750,24498,0,10252
Swaziland,2000,31.8,19.5,0,1.23,1.23,1109750,35279,21596,0,13683
Swaziland,2007,27,30.4,0,-0.34,-0.34,1133066,30570,34389,0,-3819
Swaziland,2002,30.2,24,0,0.61,0.61,1130269,34112,27172,0,6940
Sweden,2000,10.1,10.5,2.6,-0.03,0.22,8923569,90485,93430,23023,-2945
Sweden,2007,10.2,10.3,1.7,-0.01,0.16,9031088,92117,92749,14992,-632
Sweden,2006,10.3,10.3,1.7,0,0.16,9016596,92600,92961,14968,-361
Sweden,2005,10.4,10.4,1.7,0,0.17,9001774,93258,93258,15033,0
Sweden,2001,10.2,10.5,1.7,-0.03,0.14,8939915,91455,93780,15019,-2325
Sweden,2004,10.5,10.4,1.7,0.01,0.17,8986400,93998,93279,15007,719
Sweden,2002,10.7,10.6,1.7,0.01,0.18,8954175,95810,95004,15043,806
Sweden,2003,10.6,10.4,1.7,0.02,0.18,8970306,94906,93471,14980,1435
Switzerland,2007,9.7,8.5,2.7,0.12,0.38,7554661,72978,64290,20095,8688
Switzerland,2006,9.7,8.5,3.1,0.12,0.43,7523934,73057,63878,23475,9179
Switzerland,2005,9.8,8.5,3.6,0.13,0.49,7489370,73171,63510,26812,9661
Switzerland,2003,9.9,8.4,4.5,0.15,0.6,7408319,73342,62378,33560,10964
Switzerland,2002,10,8.4,5,0.16,0.66,7361757,73470,61765,36882,11705
Switzerland,2001,10.1,8.4,5.5,0.17,0.72,7311237,73478,61268,40285,12210
Switzerland,2000,10.8,8.6,2.8,0.22,0.5,7266920,78483,62496,20202,15987
Switzerland,2004,9.8,8.4,4,0.14,0.54,7450867,73242,62885,30176,10357
Syria,2005,28.3,4.9,0,2.34,2.34,18448752,521915,90030,0,431885
Syria,2004,28.9,5,0,2.4,2.4,18016874,521228,89364,0,431864
Syria,2003,29.5,5,0,2.45,2.45,17585540,519477,88631,0,430846
Syria,2002,30.1,5.1,0,2.5,2.5,17155814,516562,87838,0,428724
Syria,2001,30.6,5.2,0,2.54,2.54,16728808,512571,87157,0,425414
Syria,2007,27.2,4.7,0,2.25,2.24,19314747,525168,91552,0,433616
Syria,2000,31.1,5.3,0,2.58,2.58,16305659,507269,86257,0,421012
Syria,2006,27.8,4.8,0,2.29,2.29,18881361,524147,90819,0,433328
Taiwan,2005,9,6.3,0.7,0.27,0.34,22701079,205218,143698,15437,61520
Taiwan,2004,9.6,6.2,0.2,0.34,0.35,22622389,217401,140485,3620,76916
Taiwan,2003,10.1,6.1,-0.5,0.4,0.34,22543469,227464,137515,-12173,89949
Taiwan,2002,11,6,-0.2,0.5,0.48,22450626,246283,134704,-3592,111579
Taiwan,2001,11.5,5.9,-0.2,0.56,0.54,22335805,256862,131781,-3574,125081
Taiwan,2000,13.9,5.8,0.2,0.81,0.83,22182864,307676,128882,5546,178794
Taiwan,2006,8.9,6.4,1.2,0.25,0.37,22781867,203898,146487,27110,57411
Taiwan,2007,9,6.5,0.6,0.24,0.3,22858872,205044,149497,13944,55547
Tajikistan,2007,27.3,7,-1.3,2.03,1.9,7076598,193403,49890,-9412,143513
Tajikistan,2006,27.4,7.2,-1.4,2.02,1.89,6944062,190128,49719,-9444,140409
Tajikistan,2005,27.4,7.3,-1.4,2.01,1.87,6814791,186521,49544,-9404,136977
Tajikistan,2004,27.5,7.4,-1.4,2.01,1.87,6688433,184066,49494,-9431,134572
Tajikistan,2002,27.9,8,-1.9,1.99,1.79,6452011,180011,51810,-12452,128201
Tajikistan,2003,27.8,8.4,-1.7,1.93,1.77,6567848,182323,55301,-11034,127022
Tajikistan,2001,27.8,8.4,-2,1.93,1.74,6339104,175910,53312,-12425,122598
Tajikistan,2000,27.5,7.9,-2.2,1.96,1.74,6229697,171379,49028,-13705,122351
Tanzania,2007,36,13.4,-1.7,2.26,2.09,39384223,1415863,526173,-66165,889690
Tanzania,2000,41.4,16.5,1.7,2.49,2.67,33712118,1396019,555913,58659,840106
Tanzania,2006,36.8,14,-1.9,2.28,2.09,38568534,1418551,538417,-73666,880134
Tanzania,2005,37.6,14.6,-2.2,2.31,2.09,37770570,1421307,549562,-81584,871745
Tanzania,2004,38.3,15,-2.5,2.33,2.09,36989970,1417826,554850,-90995,862976
Tanzania,2003,39,15.4,-1.3,2.36,2.23,36198785,1413563,557823,-46696,855740
Tanzania,2002,39.8,15.8,-0.8,2.4,2.32,35383103,1408247,559053,-27245,849194
Tanzania,2001,40.6,16.2,-1,2.44,2.34,34567246,1403085,558952,-33876,844133
Thailand,2006,13.9,7,0,0.68,0.68,64631595,896440,455006,0,441434
Thailand,2007,13.7,7.1,0,0.66,0.66,65068149,893386,461984,0,431402
Thailand,2005,14,7,0,0.7,0.7,64185502,898597,448015,0,450582
Thailand,2004,14.1,6.9,0,0.72,0.72,63731437,899251,441022,0,458229
Thailand,2003,14.2,6.9,0,0.73,0.73,63271021,897816,434672,0,463144
Thailand,2002,14.2,6.8,0,0.74,0.74,62806748,894368,428970,0,465398
Thailand,2001,14.5,6.8,0,0.77,0.77,62334375,903225,423874,0,479351
Thailand,2000,14.3,6.8,0,0.75,0.75,61862928,883403,419431,0,463972
Togo,2006,37,9.8,0,2.72,2.72,5548702,205357,54544,0,150813
Togo,2005,37.2,10,0,2.72,2.72,5399991,200718,54054,0,146664
Togo,2004,37.3,10.2,0,2.72,2.72,5255320,196129,53394,0,142735
Togo,2003,37.5,10.3,0,2.72,2.72,5114524,191590,52680,0,138910
Togo,2002,37.6,10.4,0,2.72,2.72,4977378,187149,51715,0,135434
Togo,2001,37.7,10.4,0.2,2.73,2.75,4843185,182782,50563,775,132219
Togo,2007,36.8,9.7,0,2.72,2.72,5701579,209989,55020,0,154969
Togo,2000,37.9,10.4,0.2,2.75,2.76,4711655,178572,49237,801,129335
Tonga,2007,23.7,5.2,0,1.85,1.85,116921,2768,608,0,2160
Tonga,2006,25.4,5.3,0,2.01,2.01,114689,2910,606,0,2304
Tonga,2005,25.2,5.3,0,1.98,1.98,112422,2831,601,0,2230
Tonga,2003,24.5,5.5,0,1.9,1.9,108141,2651,599,0,2052
Tonga,2002,24.1,5.6,0,1.84,1.84,106137,2556,598,0,1958
Tonga,2001,23.6,5.7,0,1.78,1.79,104227,2459,598,0,1861
Tonga,2000,24.9,5.9,0,1.91,1.91,102321,2550,600,0,1950
